Series Description;Market yield on U.S. Treasury securities at 10-year   constant maturity, quoted on investment basis
Unit:;Percent:_Per_Year
29/11/2019;1.78
02/12/2019;1.83
03/12/2019;1.72
04/12/2019;1.77
05/12/2019;1.80
06/12/2019;1.84
09/12/2019;1.83
10/12/2019;1.85
11/12/2019;1.79
12/12/2019;1.90
13/12/2019;1.82
16/12/2019;1.89
17/12/2019;1.89
18/12/2019;1.92
19/12/2019;1.92
20/12/2019;1.92
23/12/2019;1.93
24/12/2019;1.90
25/12/2019;ND
26/12/2019;1.90
27/12/2019;1.88
30/12/2019;1.90
31/12/2019;1.92
01/01/2020;ND
02/01/2020;1.88
03/01/2020;1.80
06/01/2020;1.81
07/01/2020;1.83
08/01/2020;1.87
09/01/2020;1.85
10/01/2020;1.83
13/01/2020;1.85
14/01/2020;1.82
15/01/2020;1.79
16/01/2020;1.81
17/01/2020;1.84
20/01/2020;ND
21/01/2020;1.78
22/01/2020;1.77
23/01/2020;1.74
24/01/2020;1.70
27/01/2020;1.61
28/01/2020;1.65
29/01/2020;1.60
30/01/2020;1.57
31/01/2020;1.51
03/02/2020;1.54
04/02/2020;1.61
05/02/2020;1.66
06/02/2020;1.65
07/02/2020;1.59
10/02/2020;1.56
11/02/2020;1.59
12/02/2020;1.62
13/02/2020;1.61
14/02/2020;1.59
17/02/2020;ND
18/02/2020;1.55
19/02/2020;1.56
20/02/2020;1.52
21/02/2020;1.46
24/02/2020;1.38
25/02/2020;1.33
26/02/2020;1.33
27/02/2020;1.30
28/02/2020;1.13
02/03/2020;1.10
03/03/2020;1.02
04/03/2020;1.02
05/03/2020;0.92
06/03/2020;0.74
09/03/2020;0.54
10/03/2020;0.76
11/03/2020;0.82
12/03/2020;0.88
13/03/2020;0.94
16/03/2020;0.73
17/03/2020;1.02
18/03/2020;1.18
19/03/2020;1.12
20/03/2020;0.92
23/03/2020;0.76
24/03/2020;0.84
25/03/2020;0.88
26/03/2020;0.83
27/03/2020;0.72
30/03/2020;0.70
31/03/2020;0.70
01/04/2020;0.62
02/04/2020;0.63
03/04/2020;0.62
06/04/2020;0.67
07/04/2020;0.75
08/04/2020;0.77
09/04/2020;0.73
10/04/2020;ND
13/04/2020;0.76
14/04/2020;0.76
15/04/2020;0.63
16/04/2020;0.61
17/04/2020;0.65
20/04/2020;0.63
21/04/2020;0.58
22/04/2020;0.63
23/04/2020;0.61
24/04/2020;0.60
27/04/2020;0.67
28/04/2020;0.62
29/04/2020;0.63
30/04/2020;0.64
01/05/2020;0.64
04/05/2020;0.64
05/05/2020;0.66
06/05/2020;0.72
07/05/2020;0.63
08/05/2020;0.69
11/05/2020;0.73
12/05/2020;0.69
13/05/2020;0.64
14/05/2020;0.63
15/05/2020;0.64
18/05/2020;0.73
19/05/2020;0.70
20/05/2020;0.68
21/05/2020;0.68
22/05/2020;0.66
25/05/2020;ND
26/05/2020;0.69
27/05/2020;0.68
28/05/2020;0.70
29/05/2020;0.65
01/06/2020;0.66
02/06/2020;0.68
03/06/2020;0.77
04/06/2020;0.82
05/06/2020;0.91
08/06/2020;0.88
09/06/2020;0.84
10/06/2020;0.75
11/06/2020;0.66
12/06/2020;0.71
15/06/2020;0.71
16/06/2020;0.75
17/06/2020;0.74
18/06/2020;0.71
19/06/2020;0.70
22/06/2020;0.71
23/06/2020;0.72
24/06/2020;0.69
25/06/2020;0.68
26/06/2020;0.64
29/06/2020;0.64
30/06/2020;0.66
01/07/2020;0.69
02/07/2020;0.68
03/07/2020;ND
06/07/2020;0.69
07/07/2020;0.65
08/07/2020;0.67
09/07/2020;0.62
10/07/2020;0.65
13/07/2020;0.64
14/07/2020;0.63
15/07/2020;0.64
16/07/2020;0.62
17/07/2020;0.64
20/07/2020;0.62
21/07/2020;0.61
22/07/2020;0.60
23/07/2020;0.59
24/07/2020;0.59
27/07/2020;0.62
28/07/2020;0.59
29/07/2020;0.58
30/07/2020;0.55
31/07/2020;0.55
03/08/2020;0.56
04/08/2020;0.52
05/08/2020;0.55
06/08/2020;0.55
07/08/2020;0.57
10/08/2020;0.59
11/08/2020;0.64
12/08/2020;0.69
13/08/2020;0.71
14/08/2020;0.71
17/08/2020;0.69
18/08/2020;0.67
19/08/2020;0.68
20/08/2020;0.65
21/08/2020;0.64
24/08/2020;0.65
25/08/2020;0.69
26/08/2020;0.69
27/08/2020;0.74
28/08/2020;0.74
31/08/2020;0.72
01/09/2020;0.68
02/09/2020;0.66
03/09/2020;0.63
04/09/2020;0.72
07/09/2020;ND
08/09/2020;0.69
09/09/2020;0.71
10/09/2020;0.68
11/09/2020;0.67
14/09/2020;0.68
15/09/2020;0.68
16/09/2020;0.69
17/09/2020;0.69
18/09/2020;0.70
21/09/2020;0.68
22/09/2020;0.68
23/09/2020;0.68
24/09/2020;0.67
25/09/2020;0.66
28/09/2020;0.67
29/09/2020;0.66
30/09/2020;0.69
01/10/2020;0.68
02/10/2020;0.70
05/10/2020;0.78
06/10/2020;0.76
07/10/2020;0.81
08/10/2020;0.78
09/10/2020;0.79
12/10/2020;ND
13/10/2020;0.74
14/10/2020;0.73
15/10/2020;0.74
16/10/2020;0.76
19/10/2020;0.78
20/10/2020;0.81
21/10/2020;0.83
22/10/2020;0.87
23/10/2020;0.85
26/10/2020;0.81
27/10/2020;0.79
28/10/2020;0.79
29/10/2020;0.85
30/10/2020;0.88
02/11/2020;0.87
03/11/2020;0.90
04/11/2020;0.78
05/11/2020;0.79
06/11/2020;0.83
09/11/2020;0.96
10/11/2020;0.98
11/11/2020;ND
12/11/2020;0.88
13/11/2020;0.89
16/11/2020;0.91
17/11/2020;0.87
18/11/2020;0.88
19/11/2020;0.86
20/11/2020;0.83
23/11/2020;0.86
24/11/2020;0.88
25/11/2020;0.88
26/11/2020;ND
27/11/2020;0.84
30/11/2020;0.84
